id,yVolume,ma5,ma20,ma60
3093,679,623,430,256
3094,418,218,256,207
3095,9,7,9,24
3099,0,0,0,0
3105,12434,10500,6874,5526
3114,53,46,63,121
3115,1,7,9,10
3118,9,16,15,18
3122,275,211,155,500
3126,0,0,0,0
3128,2224,2347,2999,9750
3130,47,47,18,13
3131,90,50,56,158
3138,350,203,269,589
3141,2996,2515,3371,3913
3142,0,0,0,0
3144,0,0,0,0
3147,163,80,113,202
3149,257,274,344,1107
3152,102,59,53,91
3162,3497,1465,3236,3135
3163,1101,1162,1325,2606
3164,40,58,214,291
3167,46,26,30,65
3169,740,426,413,879
3171,21,25,23,15
3176,119,114,206,303
3178,139,123,108,213
3188,197,188,160,196
3189,9044,5588,6826,14364
3191,2,20,77,67
3202,207,105,121,228
3205,212,233,266,1219
3206,109,131,138,149
3207,4829,1768,1347,5400
3209,1136,840,587,632
3211,259,177,126,142
3213,83,33,21,31
3217,4191,896,404,577
3218,835,1148,835,783
3219,338,200,104,67
3221,378,233,341,599
3224,146,103,109,330
3226,3,101,26,10
3227,517,248,276,424
3228,3691,2357,1727,2062
3229,52,18,15,35
3230,26,110,95,360
3231,32325,11666,10713,12066
3232,95,106,152,398
3234,960,528,457,828
3236,290,228,325,1289
3252,495,283,709,488
3257,236,72,42,46
3259,516,139,71,42
3260,5272,2015,1441,1687
3264,7533,2916,2036,3756
3265,2919,1490,1256,1550
3266,121,65,45,57
3268,23,29,41,92
3271,0,0,0,0
3272,308,863,1860,3357
3276,79,51,45,70
3284,31,71,187,123
3285,8,69,43,28
3287,44,31,54,267
3288,6,3,9,11
3289,7526,2583,2940,7408
3290,334,280,616,734
3291,0,0,0,0
3293,2807,2325,2746,1747
3294,110,109,111,168
3296,260,378,298,721
3297,331,262,287,1044
3298,0,0,0,0
3299,0,0,0,0
3303,139,82,80,132
3305,781,527,280,537
3306,70,50,61,295
3308,37,42,49,60
3310,111,46,71,76
3311,45,29,21,24
3312,265,151,145,232
3313,31,24,28,50
3315,0,0,0,0
3317,711,422,280,555
3321,271,107,224,157
3322,318,278,325,775
3323,125,94,88,237
3324,955,488,584,1515
3325,99,60,54,138
3332,2,10,16,25
3338,105,73,94,149
3339,73,67,158,159
3346,2813,1087,945,1387
3349,8,6,6,8
3354,107,50,80,136
3356,1525,1143,1930,8170
3357,154,149,60,57
3360,67,53,92,71
3362,957,984,1020,2952
3363,272,114,102,333
3367,0,0,0,0
3369,0,0,0,0
3372,201,157,166,387
3373,164,85,421,368
3374,5449,2646,1573,2334
3376,339,198,185,255
3379,17,44,40,36
3380,777,696,1442,2209
3383,0,0,0,0
3388,34,18,23,34
3389,0,0,0,0
3390,124,113,113,278
3402,106,88,115,281
3406,2166,2262,2237,3390
3413,805,309,307,547
3416,51,39,42,105
3419,564,813,867,3431
3426,2,1,1,1
3428,0,0,0,0
3430,165,155,129,210
3431,0,0,0,0
3432,271,162,282,1253
3434,61,65,105,764
3437,184,173,124,132
3438,206,158,303,337
3441,480,469,455,1819
3443,7172,6267,6963,8217
3444,545,771,827,1474
3447,3308,1049,690,492
3450,234,143,118,186
3452,0,0,0,0
3454,8493,7393,9961,13852
3455,640,577,395,510
3465,130,72,25,20
3466,386,435,1943,1215
3474,0,0,0,0
3479,1942,2651,7545,2989
3481,78636,34276,37960,49079
3483,107,158,132,410
3484,156,85,61,136
3489,16,13,14,15
3490,57,78,75,198
3491,1426,587,828,2007
3492,24,27,54,141
3494,1118,770,1023,1563
3498,378,290,349,286
3499,290,348,363,1442
3501,196,114,113,215
3504,772,685,958,2737
3508,420,501,1096,1313
3511,222,180,188,706
3512,19,30,23,23
3514,0,0,0,0
3515,2110,1980,3220,3962
3516,13,13,73,78
3518,481,208,154,204
3519,0,0,0,0
3520,452,301,510,1599
3521,1022,1234,773,725
3522,56,65,35,30
3523,0,55,37,38
3526,352,249,126,196
3527,277,132,140,204
3528,104,52,25,24
3529,1319,756,774,1058
3530,268,138,199,141
3531,56,47,29,88
3532,1958,1053,1079,2123
3533,1574,1135,756,734
3534,0,0,0,0
3535,614,409,625,2063
3536,30,20,48,45
3537,176,149,75,66
3540,78,143,113,203
3541,32,24,27,56
3543,26,21,26,24
3545,4563,2114,3365,5213
3546,138,204,282,199
3548,283,165,180,168
3550,27,52,44,62
3551,83,45,29,53
3552,1538,778,930,1773
3553,0,0,0,0
3555,4,6,7,11
3556,70,45,58,90
3557,125,84,65,121
3558,1699,1421,1712,4841
3559,0,0,0,0
3561,0,0,0,0
3562,0,0,0,0
3563,272,95,84,94
3564,30,47,87,110
3567,153,86,69,50
3570,28,25,14,10
3573,0,0,0,0
3576,6364,4955,4763,6815
3577,82,77,329,183
3579,0,0,0,0
3580,371,251,346,779
3581,8,22,17,28
3582,0,0,0,0
3583,458,283,251,483
3584,0,0,0,0
3587,1477,882,1451,1941
3588,614,224,263,1576
3591,1028,740,383,372
3592,715,619,1220,1362
3593,8,12,15,18
3594,1245,1058,1310,1449
3596,771,554,531,1514
3597,19,9,31,52
3598,0,0,0,0
3599,0,0,0,0
3605,158,157,128,294
3607,84,65,76,127
3609,30,47,55,34
3611,28,19,22,32
3614,0,0,0,0
3615,57,36,40,55
3617,321,254,289,675
3622,65,59,95,104
3623,28,17,27,134
3624,7901,4874,1870,1630
3625,132,167,229,552
3628,16,37,89,132
3629,3,2,1,2
3630,184,241,260,695
3631,69,38,29,90
3632,48,23,16,14
3638,0,0,0,0
3642,0,0,0,15
3645,206,146,150,344
3646,62,29,18,29
3652,27,106,66,87
3653,2333,878,1106,1184
3658,0,0,0,0
3661,5232,3294,4266,5793
3662,0,0,0,0
3663,11,40,35,54
3664,121,201,117,135
3665,7111,2927,1858,2525
3666,24,49,392,219
3669,175,135,370,414
3672,14,17,13,22
3673,913,458,443,689
3675,3043,3836,1529,1835
3679,64,45,157,103
3680,3329,5096,2554,1874
3682,5289,1982,1704,1736
3684,11,12,19,41
3685,86,141,227,218
3686,274,254,663,755
3687,480,1345,1537,958
3689,189,112,113,213
3691,382,195,174,346
3693,7244,12290,4482,2768
3694,111,74,90,356
3697,0,0,0,0
3698,0,0,0,0
3701,772,376,338,693
3702,5386,2932,3766,4239
3703,1430,1041,880,1384
3704,5299,6499,9589,5893
3705,1070,979,5145,2672
3706,2437,1487,1818,2245
3707,6413,3486,2811,4315
3708,4297,2910,2861,2280
3709,25,20,17,30
3710,1036,887,1291,2024
3711,26417,12005,11036,12702
3712,389,383,1237,583
3713,107,112,258,265
3714,3742,2884,3307,3391
3715,487,468,690,755
4102,2642,1596,6032,5560
4103,0,0,0,0
4104,623,446,398,291
4105,2547,1156,1801,2963
4106,1020,932,2317,2076
4107,120,74,107,171
4108,116,139,156,205
4109,39,62,77,112
4111,427,361,1031,822
4113,3461,2593,1091,732
4114,15180,13057,29660,23267
4116,139,182,536,1459
4119,308,378,328,629
4120,59,68,66,96
4121,647,1100,3374,2300
4123,819,633,1458,1345
